1242632#S0763331 ==> 0,0.225,0,0.5,0.921,0.5,0.902,0.938,0.707,?,0,0,0,0.254,0.182,0,?,0,0.225,0,0.5,0.837,0.5,0.9,0.933,0.707,?,0,0.225,0,0.5,0.919,0.5,0.887,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.878,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.812,0.5,0.875,0.917,0.707,?,0.252,0,0.357,0.681,0.167,0.527,match
S10052228#19498335 ==> ?,?,?,?,?,?,?,?,?,?,0,0,0,0.361,0.259,0.231,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.416,0,0.357,0.365,0.896,0.598,match
S10057846#16672136 ==> 0,0.225,0,0.5,0.806,0.5,1,0.938,0.707,?,0,0,0.25,0.856,0.765,0.647,?,0,0.225,0,0.5,0.772,0.5,1,0.933,0.707,?,0,0.225,0,0.5,0.736,0.5,1,0.929,0.707,?,0,0.225,0,0.5,0.726,0.5,1,0.923,0.707,?,?,?,?,?,?,?,?,?,?,0.5,0.5,0,0.667,0.893,0.733,0.833,0.909,0.816,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.417,0,0.667,0.708,0.593,0.816,match
16784242#S10124279 ==> 0,0.225,0,0.5,0.921,0.5,0.902,0.938,0.707,?,0,0,0,0.529,0.286,0.197,?,0,0.225,0,0.5,0.92,0.5,0.895,0.933,0.707,?,0,0.225,0,0.5,0.919,0.5,0.887,0.929,0.707,?,0,0.225,0,0.5,0.1,0.5,0.885,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.172,0,0.588,0.885,0.225,0.754,match
26819535#S10126055 ==> ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.322,0,0.259,0.838,0.465,0.467,match
S10201032#19581008 ==> 0,0.225,0,0.5,0.861,0.5,1,0.938,0.707,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.92,0.5,0.933,0.933,0.707,?,0,0.225,0,0.5,0.818,0.5,1,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.923,0.923,0.707,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0.631,0.235,0.5,0.5,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.315,0,0.412,0.698,0.301,0.592,match
20574978#S10224499 ==> 0,0.225,0,0.5,0.863,0.5,0.906,0.938,0.707,?,0,0,0.091,0.452,0.261,0.348,?,0,0.225,0,0.5,0.92,0.5,0.895,0.933,0.707,?,0,0.225,0,0.5,0.81,0.5,0.893,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.878,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.775,0.5,0.875,0.917,0.707,?,0.219,0,0.24,0.721,0.37,0.392,match
20606569#S10253372 ==> 0,0.225,0,0.5,0.921,0.5,0.902,0.938,0.707,?,0.158,0,0.091,0.745,0.265,0.329,?,0,0.225,0,0.5,0.92,0.5,0.895,0.933,0.707,?,0,0.225,0,0.5,0.786,0.5,0.893,0.929,0.707,?,0,0.225,0,0.5,0.781,0.5,0.885,0.923,0.707,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.335,0,0.211,0.867,0.485,0.396,match
22237689#S10285924 ==> ?,?,?,?,?,?,?,?,?,?,0,0,0.25,0.767,0.643,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.258,0,0.312,0.875,0.271,0.477,match
S10306707#27344444 ==> 0,0.225,0,0.5,0.861,0.5,1,0.938,0.707,?,?,?,?,?,?,?,?,0,0.225,0,0.5,0.92,0.5,0.933,0.933,0.707,?,0,0.225,0,0.5,0.786,0.5,1,0.929,0.707,?,0,0.225,0,0.5,0.918,0.5,0.923,0.923,0.707,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0.631,0.235,0.5,0.5,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.11,0,0.245,0.536,0.2,0.419,match
